pair,leg_x,leg_y,sector,direction,entry_date,exit_date,holding_days,entry_z,exit_z,hedge_ratio,half_life,pnl,exit_reason,capital_at_entry
EWH_EWS,EWH,EWS,ASIA_DEV,SHORT,2010-04-14,2010-04-19,3,3.3894412897603314,0.10752968587966162,0.8349967351174572,8.271413518198985,16.535732538640367,convergence,50000.0
EZU_EWU,EZU,EWU,EUROPE,LONG,2010-04-30,2010-05-04,2,-2.8249162895963145,1.6756413954457512,0.8512090901794577,5.963186379561934,-35.1818163544622,regime_break,50016.53573253864
TLT_BND,TLT,BND,BONDS_GOV,LONG,2010-05-06,2010-05-07,1,-3.6924533617948785,0.7671577410269693,0.35465102098597234,11.310806781235772,-24.75156315101473,regime_break,49981.35391618418
EWG_EWP,EWG,EWP,EUROPE,LONG,2010-05-06,2010-05-07,1,-2.857819300958368,-0.000770145302211232,0.7211362450326768,6.856974052413112,-22.246431444699997,convergence,49981.35391618418
EWQ_EWL,EWQ,EWL,EUROPE,SHORT,2010-05-06,2010-05-07,1,3.9822239468950538,0.0026643494355065036,0.6913175454810513,6.150057843900465,-20.254452999224377,convergence,49981.35391618418
XLY_XRT,XLY,XRT,CONSUMER_DISC,SHORT,2010-05-05,2010-05-10,3,4.0619685632124645,-1.0266541699997642,1.2205036703305643,13.220005897924523,-12.451254599599508,regime_break,49981.35391618418
EWG_EWN,EWG,EWN,EUROPE,LONG,2010-05-05,2010-05-10,3,-2.901114323088479,4.610352207029367,0.7030062147177417,9.236098412019087,-21.591255591423963,regime_break,49981.35391618418
VGK_EWL,VGK,EWL,EUROPE,SHORT,2010-05-06,2010-05-10,2,4.365409276237474,-3.3101959561043217,0.8688359089996682,8.273978147465268,-64.94594199526092,regime_break,49981.35391618418
EWH_EWS,EWH,EWS,ASIA_DEV,LONG,2010-05-05,2010-05-10,3,-3.080814651575397,2.413756856739493,0.8531905401321437,8.271413518198985,-24.260314086159,regime_break,49981.35391618418
VGK_EWL,VGK,EWL,EUROPE,LONG,2010-05-10,2010-05-11,1,-3.3101959561043217,0.7332787088551329,0.8688359089996682,8.273978147465268,-29.633791339749035,regime_break,49790.8527023168
EWU_EWQ,EWU,EWQ,EUROPE,SHORT,2010-05-10,2010-05-13,3,3.7853734361414797,-0.155749835048629,1.0023619495596485,6.455806101579485,-10.698015584274557,regime_break,49790.8527023168
