trading_year,pairs_selected,total_trades,winning_trades,win_rate,total_pnl,ending_capital,stop_loss_exits,convergence_exits,max_holding_exits,regime_break_exits,period_end_exits
2010,8,30,20,66.66666666666666,1883.9482644481297,,10,19,1,,
2011,4,20,11,55.00000000000001,-133.00465186423412,,7,8,5,,
2012,3,8,5,62.5,606.0480751212895,,1,5,2,,
2016,9,55,30,54.54545454545454,434.8686839761913,,21,21,13,,
2017,6,36,18,50.0,-523.9316083274264,,12,10,9,3.0,2.0
2021,4,25,9,36.0,-443.30188623631545,,8,10,7,,
2022,3,28,16,57.14285714285714,62.55594204220317,,9,12,6,,1.0
2023,3,13,8,61.53846153846154,365.5318737969834,,5,6,1,,1.0
