universe,leg_x,leg_y,correlation,n_obs,spread_mean,spread_std,hedge_ratio,coint_statistic,coint_pvalue,half_life,min_corr_used
core_sectors,VOO,IVV,0.9993090016017653,251,-0.08984480413063295,0.00020958850192760338,1.0001507941628616,-15.230413010328613,4.44167505281775e-27,48956.18930696977,0.8
core_sectors,SPY,IVV,0.9993389966238109,251,0.018870916731940326,0.0002189072882181567,0.9963812037767088,-13.843479155835173,6.8919889799152375e-25,15002.14452023432,0.8
core_sectors,SPY,VOO,0.9993564817886272,251,0.10839753857210192,0.00019458714105417789,0.9962276756566344,-12.716057091764347,1.0753420034577017e-22,,0.8
core_sectors,AGG,BND,0.9962183095882721,251,0.28364552192293,0.00031132260738552935,1.003389094394199,-5.853186203017655,3.3437330700493013e-06,,0.8
core_sectors,QQQ,VGT,0.9711718479383185,251,0.8089310235409599,0.005759248673314138,0.8435023037304314,-3.8845347009388664,0.010417604577651812,,0.8
core_sectors,LQD,AGG,0.9632760787513556,251,-0.6127265893738193,0.002792825444438034,1.1561655124886165,-3.8715707189876873,0.010852319388541217,,0.8
core_sectors,LQD,BND,0.9657857547663572,251,-0.28575419779761696,0.0027680811387791123,1.1603125669538978,-3.804532833661965,0.01336841345311315,,0.8
core_sectors,XLRE,VNQ,0.9905735873233183,251,-0.8108744234298658,0.0029913885993809843,1.0080351678956576,-3.4928521713792207,0.03303430964734203,82223.24338416738,0.8
core_sectors,QQQ,IWF,0.9845187367393249,251,1.1374925901178365,0.006086155435756877,0.8517007511205055,-3.449675419863587,0.03712498383596198,19566.255303538135,0.8
core_sectors,IYW,QQQ,0.9759770746422004,251,-2.2243292547411615,0.00711917902663145,1.1717794858723432,-3.428447593564777,0.03928762656881972,170295.55852545364,0.8
core_sectors,XLK,QQQ,0.9645008711838778,251,-0.20682720438657565,0.011647502267069799,0.9089192012471125,-3.3683515149693313,0.045989254362869825,2464.999282627589,0.8
core_sectors,IWM,SCHV,0.8362754439846553,251,1.835311042654097,0.01981673113445537,1.0927910992071175,-3.302543922982527,0.05438656193348107,22254.068111404304,0.8
core_sectors,IWM,IWD,0.8601337971502753,251,-0.20553913818942798,0.019208579842130646,1.0727650041211727,-3.233873540561093,0.06444333631041,1267.7019638377385,0.8
core_sectors,XLK,IWF,0.9505552008603712,251,0.8762810031510748,0.016029793017388876,0.7657346908981962,-3.2155347309223545,0.06736807796273947,13361.183075035193,0.8
core_sectors,XLK,SCHG,0.9458941937380423,251,3.049765478114098,0.017237391375408626,0.7256076888091688,-3.173195457862558,0.07452596197951626,114163.51727570499,0.8
core_sectors,XLI,IWD,0.8930315642101524,251,-1.2532185308342645,0.011113825498083965,1.1757075432952033,-3.1615346739510213,0.07659947918897192,8998.370675761384,0.8
core_sectors,QQQ,SCHG,0.9837112010179354,251,3.5470550911491596,0.007461484246643933,0.8095521161819824,-3.161001828753232,0.07669530470531041,83175.02554551313,0.8
core_sectors,XLI,SCHV,0.8791250886885007,251,0.9747369771941728,0.011485716020681207,1.200382324129891,-3.1196210524196752,0.08442954290237953,,0.8
core_sectors,XLK,VOO,0.9006311902807413,251,-0.02737961972817862,0.022393741065042907,0.8713315571570669,-3.0894094493866104,0.09044976624283424,22.561536593048555,0.8
core_sectors,XLK,IVV,0.9014006481012411,251,-0.1053709913943037,0.02240374342675841,0.8714162540533614,-3.086934321145446,0.09095728655695234,172.32071437639053,0.8
core_sectors,XLK,SPY,0.9016372949031866,251,-0.12274736403802655,0.022375457882110945,0.8747201605737418,-3.0826292559530506,0.09184525114823361,223.9770362572284,0.8
core_sectors,XLK,IYW,0.9822428613300691,251,1.5069350326941617,0.008912238586974128,0.7780107828925763,-3.0693927906490126,0.09461717154715643,86756.9963127333,0.8
core_sectors,XLF,VFH,0.9857951366226397,251,-0.6748565669076216,0.003806278936793552,0.9545090438052005,-3.0494319834997583,0.09891774083718435,15283.515714926425,0.8
core_sectors,VGT,IWF,0.9612226304532121,251,0.43966482367426285,0.0112293113111134,1.001169363318183,-2.988601767344485,0.11293976392520955,3973.1835002584594,0.8
core_sectors,XLI,MDY,0.9001090890833691,251,-2.648634468162533,0.015225990038943924,1.1872856404716012,-2.9588577524621282,0.12031177100056634,128815.85738283489,0.8
core_sectors,XLF,DIA,0.8357016210701412,251,-5.474967704511622,0.016055748171047865,1.5423847933410624,-2.9427731150087286,0.12444265781731767,19945.261103057164,0.8
core_sectors,XLI,IWM,0.8402887446691698,251,-0.4728515618373067,0.02372852856339942,0.9919218181732478,-2.919047169483685,0.1307233327693641,1325.2664099230228,0.8
core_sectors,VGT,SCHG,0.9609609043375713,251,3.2716751735742324,0.012244267078716236,0.9517543291662584,-2.9158536177917824,0.1315858960167916,45964.570866927585,0.8
core_sectors,IYW,VGT,0.9910475518369863,251,-1.303929671426389,0.0058686677934918045,0.9927543011202389,-2.887056095360898,0.13954957244093025,34576.1107036334,0.8
core_sectors,XLK,VGT,0.987423216834773,251,0.49637859464851597,0.010350528239210597,0.7717532423255832,-2.886981525155854,0.1395706297923523,111804.13985100361,0.8
core_sectors,VFH,MDY,0.8119233271530669,251,-5.209107927155281,0.02377398498742547,1.5640079672587417,-2.879298677097156,0.1417522522901007,24034.452482425084,0.8
core_sectors,SCHV,SPLV,0.8463010265980793,251,-0.6633664148733172,0.012221278118498467,0.9246012947987501,-2.8094717623567904,0.16268957596238143,4439.111453091123,0.8
core_sectors,VFH,DIA,0.8482941531148533,251,-5.026250951391678,0.01647101379876037,1.6154534951606694,-2.773654172246653,0.17421144695844826,20545.783999279192,0.8
core_sectors,IWD,SPLV,0.8336371124950175,251,1.2184316372807789,0.012763258366457668,0.9438317370746478,-2.7727377950570835,0.1745132198876042,,0.8
