universe,leg_x,leg_y,correlation,n_obs,spread_mean,spread_std,hedge_ratio,coint_statistic,coint_pvalue,half_life,min_corr_used,sector_x,sector_y,pair_bucket
core_sectors,VOO,IVV,0.9993090016017653,251,-0.08984480413063295,0.00020958850192760338,1.0001507941628616,-15.230413010328613,4.44167505281775e-27,48956.18930696977,0.8,Broad Market,Broad Market,Same Sector
core_sectors,SPY,IVV,0.9993389966238109,251,0.018870916731940326,0.0002189072882181567,0.9963812037767088,-13.843479155835173,6.8919889799152375e-25,15002.14452023432,0.8,Broad Market,Broad Market,Same Sector
core_sectors,SPY,VOO,0.9993564817886272,251,0.10839753857210192,0.00019458714105417789,0.9962276756566344,-12.716057091764347,1.0753420034577017e-22,,0.8,Broad Market,Broad Market,Same Sector
core_sectors,AGG,BND,0.9962183095882721,251,0.28364552192293,0.00031132260738552935,1.003389094394199,-5.853186203017655,3.3437330700493013e-06,,0.8,Fixed Income,Fixed Income,Same Sector
core_sectors,QQQ,VGT,0.9711718479383185,251,0.8089310235409599,0.005759248673314138,0.8435023037304314,-3.8845347009388664,0.010417604577651812,,0.8,Technology,Technology,Same Sector
core_sectors,LQD,AGG,0.9632760787513556,251,-0.6127265893738193,0.002792825444438034,1.1561655124886165,-3.8715707189876873,0.010852319388541217,,0.8,Fixed Income,Fixed Income,Same Sector
core_sectors,LQD,BND,0.9657857547663572,251,-0.28575419779761696,0.0027680811387791123,1.1603125669538978,-3.804532833661965,0.01336841345311315,,0.8,Fixed Income,Fixed Income,Same Sector
core_sectors,XLRE,VNQ,0.9905735873233183,251,-0.8108744234298658,0.0029913885993809843,1.0080351678956576,-3.4928521713792207,0.03303430964734203,82223.24338416738,0.8,Real Estate,Real Estate,Same Sector
core_sectors,QQQ,IWF,0.9845187367393249,251,1.1374925901178365,0.006086155435756877,0.8517007511205055,-3.449675419863587,0.03712498383596198,19566.255303538135,0.8,Technology,Broad Market,Cross Sector
core_sectors,IYW,QQQ,0.9759770746422004,251,-2.2243292547411615,0.00711917902663145,1.1717794858723432,-3.428447593564777,0.03928762656881972,170295.55852545364,0.8,Technology,Technology,Same Sector
core_sectors,XLK,QQQ,0.9645008711838778,251,-0.20682720438657565,0.011647502267069799,0.9089192012471125,-3.3683515149693313,0.045989254362869825,2464.999282627589,0.8,Technology,Technology,Same Sector
