direction,entry_date,exit_date,entry_z,exit_z,entry_spread,exit_spread,hedge_ratio,pnl,exit_reason,trading_year,leg_x,leg_y
LONG,2008-04-01,2008-04-11,-2.0188025777584455,-0.4235649376666938,-1.6797499013918515,-1.6546782663978612,1.3201258579214286,86.37379803772058,convergence,2008,IWP,VIG
SHORT,2008-03-31,2008-04-18,2.2785582387037437,0.20902540200479405,-4.881861165900647,-4.927069974638126,1.9532388381593093,135.79368267340928,convergence,2008,EWS,IWF
SHORT,2008-05-01,2008-05-07,2.0123286628385695,0.2344590739967338,-1.8597547738011513,-1.9097538001568548,1.3311553128410503,196.58022557936565,convergence,2008,EWS,XLB
LONG,2008-05-07,2008-05-14,-2.082237782011941,-0.18401482611928244,0.904492014272789,0.9306306313992776,0.6244496321147434,143.989599190943,convergence,2008,VAW,XOP
LONG,2008-05-01,2008-05-16,-2.505871541710075,-0.3547665260058861,0.0623474217566482,0.11607355728535484,1.0588096128089248,255.86119410153202,convergence,2008,VAW,VGT
LONG,2008-04-24,2008-05-20,-2.2526415545221297,-0.30186121606858785,-3.5077223337103,-3.4569569484643523,1.7157581796840167,182.92319890738963,convergence,2008,EWC,VGT
SHORT,2008-05-01,2008-05-20,2.862508374336198,0.18189662189393666,1.9666627541556758,1.9165592438045114,0.49787315733701715,339.6256527493843,convergence,2008,VGT,XLE
LONG,2008-05-01,2008-05-20,-2.386534520042199,0.2915718272329283,-2.4255372180682784,-2.3280095401681997,1.7318176666089553,361.9257685939906,convergence,2008,VDE,VGT
LONG,2008-05-01,2008-05-20,-2.5604258935638207,-0.33323613183856854,-2.0000922538874897,-1.9211602326645885,1.721096748805585,288.01292045209055,convergence,2008,EWC,XLK
LONG,2008-05-20,2008-05-27,-2.286913578051441,-0.4492411680455676,-2.0027189590426144,-1.938619091128964,1.3311553128410503,247.59263701354809,convergence,2008,EWS,XLB
LONG,2008-05-21,2008-05-29,-2.249399548967384,-0.1815747130181991,0.8986904758930665,0.9252200902107126,0.6244496321147434,139.2355205498929,convergence,2008,VAW,XOP
SHORT,2008-04-28,2008-06-10,2.4154403191010703,0.0339164555134507,1.858982915824907,1.840172746327421,0.47153387558347665,106.5838887242924,convergence,2008,EWJ,IWN
LONG,2008-05-16,2008-06-25,-2.3514592868713766,-0.3778733384554649,-4.9920274443302795,-4.971423395854027,1.9532388381593093,51.87905106823327,convergence,2008,EWS,IWF
SHORT,2008-04-29,2008-06-26,2.203447495200242,-0.062374183439975264,1.9959829864813168,1.9959857900907036,0.5014994252169509,-14.110356080761619,convergence,2008,QQQ,VWO
SHORT,2008-04-24,2008-06-26,2.475361700338038,0.043023240951509695,2.3974891995354004,2.405469531539918,0.4236293408510059,-65.50219410951775,convergence,2008,VGT,VWO
LONG,2008-04-18,2008-06-26,-2.1194026660183236,-0.2806024762263905,-4.69356714448697,-4.774179982952199,2.213733801502658,-252.69946465975437,convergence,2008,EWY,VGT
LONG,2008-06-10,2008-06-27,-2.1267860526692406,-0.16213976350011194,-2.0057985298440393,-1.9534161231115195,1.3311553128410503,198.369073027835,convergence,2008,EWS,XLB
SHORT,2008-05-20,2008-07-03,2.058993107169767,0.4603850136388906,-1.5993053073592751,-1.5938886761095374,1.3201258579214286,-46.62318682694752,convergence,2008,IWP,VIG
LONG,2008-06-27,2008-07-16,-2.2232453548390168,-0.33572738794203705,1.8653460174136036,1.9035105744777627,0.49787315733701715,211.71130749313048,convergence,2008,VGT,XLE
SHORT,2008-06-26,2008-07-16,2.279531294070657,0.3699945501709387,-2.24884093476288,-2.3008784867857113,1.7318176666089553,154.83221305880133,convergence,2008,VDE,VGT
