pair,correlation,p_value,spread_range_pct,category,tradeable
IJR-IAI,0.7808799088502744,0.0038391492559973,31.68690086852827,excluded_other,✅ Yes
IJR-KRE,0.8401162188014869,0.0381470832022758,30.73792421773807,excluded_other,✅ Yes
VBK-IAI,0.7513302099204703,0.0291163521260666,29.965478812208445,excluded_other,✅ Yes
IWM-IAI,0.7837079952960166,0.0019062934835581,29.823063047231784,excluded_other,✅ Yes
MDY-IAI,0.7841945894002795,0.0118804779168416,29.425168232547733,excluded_other,✅ Yes
IJH-IAI,0.7818342379527367,0.0130495913669594,29.276613425477706,excluded_other,✅ Yes
IWM-KBE,0.8188585385754971,0.020388632026706,28.983304846564522,excluded_other,✅ Yes
VB-IAI,0.7910319459155201,0.0030232993816042,28.299778936068023,excluded_other,✅ Yes
IJR-KBE,0.8596072461707982,0.0012313556702505,28.167717100985598,excluded_other,✅ Yes
VBR-IAI,0.7927943268780798,0.0027231317636726,27.56195898692016,excluded_other,✅ Yes
IJR-VFH,0.8109274908803724,0.0105197919487417,24.699166065392816,excluded_other,✅ Yes
IWM-VFH,0.7825220581023254,0.0020232228705563,22.42422638505542,excluded_other,✅ Yes
XLF-IWM,0.7084689420551864,0.0131092583414173,21.744428249730802,excluded_other,✅ Yes
EWA-EWS,0.7308190827628657,0.0028084049678984,21.10368945145889,excluded_other,✅ Yes
MDY-VFH,0.8075336125919432,0.0035124257006009,20.15240002111453,excluded_other,✅ Yes
VBK-VFH,0.7087954086430918,0.012499324029796,19.90698847246135,excluded_other,✅ Yes
IJH-VFH,0.8067670083178682,0.0039842357142645,19.839351546349306,excluded_other,✅ Yes
VBR-VFH,0.8368751692284973,0.0008112374004832,19.692972327777525,excluded_other,✅ Yes
VB-VFH,0.7979147720736295,0.0005047700470042,19.652752420837786,excluded_other,✅ Yes
XLF-MDY,0.7476051602568086,0.0052374726798697,19.472849625128575,excluded_other,✅ Yes
XLF-IJH,0.7465154330138527,0.0056133892218033,19.15980115036335,excluded_other,✅ Yes
XLF-VB,0.7325882114687975,0.002993633051182,19.041295932005013,excluded_other,✅ Yes
XLF-VBR,0.7752667361539634,0.0036884770381683,19.01342193179157,excluded_other,✅ Yes
IJR-DVY,0.7989005241324304,0.0085086023401335,14.72069896890497,excluded_other,✅ Yes
IWM-DVY,0.7560830397914132,0.0121475267429775,14.366041868939817,excluded_other,✅ Yes
IWM-EWC,0.7346687574657561,0.0334219713029714,13.835090395240329,excluded_other,✅ Yes
VEA-EWP,0.7405676930018307,0.0343354381672523,13.702892239425822,excluded_other,✅ Yes
IJR-EWC,0.7210152541560261,0.0306568602875468,13.105348143443706,excluded_other,✅ Yes
IWM-SPYV,0.8003100966425772,0.0206739436573571,12.627813184312416,excluded_other,✅ Yes
IWM-IVE,0.8030317365219043,0.0218758330184285,12.604696262886833,excluded_other,✅ Yes
DIA-IWM,0.7865448339606881,0.0140506771133999,11.855204530031145,excluded_other,✅ Yes
IWM-SCHV,0.8429636753263894,0.0376517378757338,11.300190062743823,excluded_other,✅ Yes
VBR-DVY,0.8468271175392637,0.0178717851829088,11.126116164970128,excluded_other,✅ Yes
IWM-VYM,0.8215010374119076,0.0329776047669598,10.971209843898876,excluded_other,✅ Yes
EWG-EWP,0.7855059263055199,0.0449979064872272,10.87752738574909,excluded_other,✅ Yes
IWM-IWD,0.8657483194053612,0.0409002532042053,10.761461449675721,excluded_other,✅ Yes
VBR-EWC,0.7615685704557318,0.0090592888332036,10.228940767059456,excluded_other,✅ Yes
DIA-VB,0.8237148793874993,0.029682528591523,10.213721135535238,excluded_other,✅ Yes
DIA-IJR,0.7937264097414362,0.0324792203441784,9.949597608076658,excluded_other,⚠️ Maybe
XLI-MDY,0.8935995521818535,0.0361798546956711,9.695839483403532,excluded_other,⚠️ Maybe
IJH-IVE,0.8554028244614722,0.0432664045690991,9.671536838503428,excluded_other,⚠️ Maybe
IJH-SPYV,0.8521350919103304,0.0432335347728114,9.625688019710367,excluded_other,⚠️ Maybe
MDY-IVE,0.8556619961493624,0.0399447624173731,9.480576564602245,excluded_other,⚠️ Maybe
MDY-SPYV,0.8524092179648346,0.0399616289696595,9.434727745809184,excluded_other,⚠️ Maybe
XLI-IJH,0.893699769265731,0.039965855966494,9.34427307656928,excluded_other,⚠️ Maybe
IVE-VBR,0.8721136486837533,0.0486124091788742,9.338022706751843,excluded_other,⚠️ Maybe
SPYV-VBR,0.8695027787922134,0.0487458483820552,9.292173887958782,excluded_other,⚠️ Maybe
DIA-VBR,0.8215354697513239,0.0247446180610335,8.782394381703682,excluded_other,⚠️ Maybe
SHY-EMB,0.7094449373352725,0.0401099445063257,8.712484424563826,excluded_other,⚠️ Maybe
VYM-EWC,0.755567508776566,0.0278168353654411,8.557708431963917,excluded_other,⚠️ Maybe
IJH-SCHV,0.9011714479287712,0.0343636483139937,8.117215108941465,excluded_other,⚠️ Maybe
MDY-VYM,0.877105645755693,0.0373620383034942,7.947025641444256,excluded_other,⚠️ Maybe
MDY-SCHV,0.9022100886188856,0.0343052896342181,7.926254835040282,excluded_other,⚠️ Maybe
IJH-VYM,0.8765362655144168,0.0369018518985659,7.925015459248357,excluded_other,⚠️ Maybe
QQQ-IYW,0.9783099221306696,0.0316789157316857,7.836357456898412,excluded_other,⚠️ Maybe
SCHV-EWC,0.7718929968264576,0.0220467855427253,7.803873202871017,excluded_other,⚠️ Maybe
IJH-IWD,0.9175049425577356,0.0318481573879082,7.583153716060622,excluded_other,⚠️ Maybe
