trading_year,pairs_selected,total_trades,winning_trades,win_rate,total_pnl,ending_capital,convergence_exits,stop_loss_time_exits,max_holding_exits,regime_break_exits,period_end_exits
2010,9,123,66,53.65853658536586,-594.9760486808808,49405.023951319126,57,35,16,10.0,5
2011,6,106,56,52.83018867924528,-728.2519373805101,48676.7720139386,46,35,20,,5
2016,4,61,32,52.459016393442624,-248.94956790344398,48427.82244603514,24,22,12,,3
2017,7,109,58,53.21100917431193,-387.2587557374834,48040.56369029766,50,26,16,12.0,5
2019,4,68,37,54.41176470588235,-209.46436553766262,47831.09932476002,39,16,10,,3
2020,6,43,23,53.48837209302325,26.941971978197532,47858.04129673822,15,11,15,,2
