trading_year,pairs_selected,total_trades,winning_trades,win_rate,total_pnl,ending_capital,stop_loss_exits,convergence_exits,max_holding_exits
2010,4,15,9,60.0,165.40377434299438,50165.403774342994,6,7,2.0
2011,4,25,12,48.0,-228.6431596906301,49936.76061465238,11,10,4.0
2016,3,9,4,44.44444444444444,38.33682880456074,49975.09744345695,4,4,1.0
2017,3,14,5,35.714285714285715,-108.95191111174124,49866.14553234522,8,4,2.0
2020,3,8,5,62.5,297.6127152548556,50163.758247600075,3,5,
