pair,leg_x,leg_y,sector,direction,entry_date,exit_date,holding_days,entry_z,exit_z,hedge_ratio,half_life,pnl,exit_reason,capital_at_entry,qty_x,qty_y,entry_px,entry_py
EWG_EWU,EWG,EWU,EUROPE,SHORT,2010-03-31,2010-04-05,2,0.8559844362787051,-0.614972744407271,0.959418377596196,5.1524661102392395,18.657432237193404,convergence,50000.0,-168.2409363307437,137.23885543022013,15.167400360107422,17.839134216308594
EWG_EWU,EWG,EWU,EUROPE,LONG,2010-04-05,2010-04-12,5,-0.9324813863317313,0.05114097119120106,0.959418377596196,5.1524661102392395,7.926611246594229,convergence,50018.657432237196,165.3550539301282,-133.5151764697612,15.437870025634766,18.34350204467773
EWU_EWQ,EWU,EWQ,EUROPE,SHORT,2010-03-31,2010-04-16,11,1.3343020995986121,4.5952595815206765,0.9871937579496305,6.455806101579485,-67.3798559418484,stop_loss_time,50000.0,-141.04445498866775,152.56899052337275,17.839134216308594,16.280431747436523
KBE_IAI,KBE,IAI,FINANCIALS,SHORT,2010-03-31,2010-04-20,13,1.5887605523967765,3.7591661049194114,1.1513248086480323,8.75111304967419,-116.15919807755348,stop_loss_time,50000.0,-125.06855815505256,122.20039877522622,18.5830020904541,21.89723396301269
EWU_EWQ,EWU,EWQ,EUROPE,SHORT,2010-04-16,2010-04-27,7,2.27936740123004,4.544740781483117,0.9871937579496305,6.455806101579485,-62.897947836808626,stop_loss_time,49959.20418754194,-136.89077322495783,151.7179856686042,18.36543083190918,16.3583927154541
EWG_EWU,EWG,EWU,EUROPE,LONG,2010-04-15,2010-04-30,11,-1.0927010604170748,0.815661543886531,0.959418377596196,5.1524661102392395,22.93621127043584,convergence,50026.58404348379,163.0374770633466,-131.03006408870925,15.65980052947998,18.694366455078125
EWG_EWU,EWG,EWU,EUROPE,SHORT,2010-04-30,2010-05-04,2,2.1098642436492803,-1.1316231479594943,0.959418377596196,5.1524661102392395,33.48127877723037,convergence,49803.08325289801,-171.33887373642486,139.703631826298,14.834507942199709,17.45538330078125
EWG_EWU,EWG,EWU,EUROPE,LONG,2010-05-04,2010-05-06,2,-0.9236846242252091,0.9453039160864575,0.959418377596196,5.1524661102392395,23.480542780548202,convergence,49836.56453167524,178.11570112262606,-143.1239820822632,14.279687881469728,17.049692153930664
EWG_EWU,EWG,EWU,EUROPE,SHORT,2010-05-06,2010-05-14,6,0.8679441833875412,4.481871094605547,0.959418377596196,5.1524661102392395,-66.16005787291749,stop_loss_time,49860.04507445579,-189.9135722292239,154.94959814602677,13.398910522460938,15.755894660949709
EWU_EWQ,EWU,EWQ,EUROPE,SHORT,2010-04-27,2010-05-24,19,2.36067417288825,2.1089855927877283,0.9871937579496305,6.455806101579485,4.246028117242886,max_holding,49780.14704162758,-142.4378239456903,161.91271142820094,17.58695411682129,15.273459434509276
