trading_year,pairs_selected,total_trades,winning_trades,win_rate,total_pnl,ending_capital,convergence_exits,stop_loss_time_exits,max_holding_exits,regime_break_exits,period_end_exits
2010,4,52,26,50.0,-239.725565786324,49760.27443421369,20,13,7,10.0,2
2011,4,71,34,47.88732394366197,-675.8873170840578,49084.38711712965,30,25,13,,3
2016,4,61,32,52.459016393442624,-251.0342501782111,48833.35286695144,24,22,12,,3
2017,3,61,34,55.73770491803278,-192.48024168470798,48640.87262526674,23,14,9,12.0,3
2020,4,33,20,60.60606060606061,579.9937950207074,49220.86642028744,17,6,9,,1
