trading_year,pairs_selected,total_trades,winning_trades,win_rate,total_pnl,ending_capital,stop_loss_exits,convergence_exits,max_holding_exits,period_end_exits
2010,9,36,16,44.44444444444444,4.502136751636762,50004.50213675163,15,12,9,
2011,6,44,21,47.72727272727273,-365.7344312263728,49638.767705525264,21,12,9,2.0
2016,3,9,4,44.44444444444444,38.108057394449936,49676.87576291971,4,4,1,
2017,7,26,10,38.46153846153847,-193.97115014459436,49482.90461277511,14,9,3,
2019,3,20,7,35.0,-187.61049738181256,49295.294115393306,6,9,4,1.0
2020,4,13,7,53.84615384615385,256.0298641021269,49551.32397949545,5,6,2,
