Date,XLK,IYW,XLF,VFH,XLE,XLY,XLV,XLI,XLP,XLB,SPY,QQQ,XLU,XLC,XOP,XME,ITB,XHB,SMH,SOXX,IBB,EEM,EFA,TLT,HYG,LQD,DIA,IWM,XLRE,VGT,VHT,VDE,VNQ,VOO,IVV,SCHG,SCHV,IWF,IWD,MDY,SPLV,VEA,VWO,VGK,EWJ,FXI,EWW,ILF,AGG,BND
2020-11-12,115.48468017578125,77.18006896972656,24.343042373657227,59.103981018066406,26.93158721923828,145.06166076660156,102.23330688476562,77.66666412353516,58.388790130615234,61.429019927978516,329.2837829589844,279.7250061035156,56.14151382446289,60.23493576049805,41.22476577758789,25.232736587524414,52.25593185424805,52.577911376953125,93.44151306152344,107.605224609375,137.75997924804688,42.576114654541016,58.97599411010742,136.1549835205078,65.19400024414062,113.18087005615234,265.90179443359375,159.88394165039062,30.93107795715332,311.5987548828125,200.6719207763672,36.69453048706055,68.59449768066406,301.7604675292969,329.8268737792969,14.654939651489258,16.53917694091797,217.92666625976562,115.7978744506836,356.1656799316406,49.62937927246094,37.47309112548828,40.14734649658203,47.504554748535156,57.22786331176758,41.872589111328125,32.9279670715332,17.188077926635742,101.77537536621094,75.50914001464844
2020-11-13,116.46485900878906,77.69047546386719,24.74585723876953,60.13172149658203,27.911962509155273,147.41531372070312,103.5259780883789,79.38848114013672,59.19523620605469,62.48844909667969,333.842529296875,282.1788635253906,56.69914627075195,61.13126754760742,43.466590881347656,26.42341423034668,53.379615783691406,53.85585021972656,94.81884765625,108.92484283447266,139.2705535888672,43.17464828491211,59.88239669799805,135.97439575195312,65.4160385131836,113.314453125,269.6474914550781,163.1949005126953,31.639612197875977,314.05108642578125,203.38389587402344,38.06650924682617,70.42566680908203,305.8602294921875,334.31121826171875,14.756280899047852,16.845186233520508,219.58433532714844,118.05880737304688,363.85565185546875,50.24332809448242,38.00511169433594,40.656307220458984,48.25,58.04291534423828,42.20153045654297,33.77293395996094,17.557104110717773,101.79266357421875,75.53495788574219
2020-11-16,117.58911895751953,78.36042785644531,25.295156478881836,61.61923599243164,29.74915313720703,149.3462677001953,103.35057830810547,81.32318115234375,59.738704681396484,63.71992874145508,338.0097961425781,284.3806457519531,57.27396011352539,61.52220153808594,45.92192840576172,27.623611450195312,54.02308654785156,54.701412200927734,97.48653411865234,111.63436126708984,139.2903289794922,43.71064376831055,60.50390625,135.64772033691406,65.7835464477539,113.68169403076172,274.060302734375,167.07958984375,31.84206199645996,317.1407775878906,203.0763702392578,40.494529724121094,71.21751403808594,309.56939697265625,338.4605407714844,14.827094078063965,17.171987533569336,220.73800659179688,120.27435302734375,371.1493835449219,50.496116638183594,38.494224548339844,41.13075256347656,48.758243560791016,58.867122650146484,42.38822555541992,34.92830276489258,18.0396785736084,101.78401184082031,75.57797241210938
2020-11-17,116.93569946289062,78.09783935546875,25.258535385131836,61.55611801147461,30.053972244262695,148.71218872070312,102.676513671875,81.11027526855469,59.31795883178711,63.4844970703125,336.1918029785156,283.4786376953125,56.150089263916016,61.30290985107422,46.66920852661133,27.509307861328125,53.975067138671875,54.816707611083984,96.3653335571289,110.71414947509766,138.97438049316406,43.665977478027344,60.4434928894043,136.53318786621094,65.80651092529297,114.04895782470703,272.5345764160156,167.86029052734375,31.858928680419922,316.22357177734375,201.8741455078125,40.96017837524414,71.28350067138672,308.0262145996094,336.7394714355469,14.78924560546875,17.085826873779297,220.35025024414062,119.765869140625,371.9891662597656,50.162071228027344,38.47706604003906,41.07036209106445,48.7497673034668,58.6381721496582,42.10373306274414,35.11799240112305,18.437088012695312,101.9917221069336,75.70696258544922
2020-11-18,115.68647766113281,77.23649597167969,25.0205020904541,60.93407440185547,29.180692672729492,147.69390869140625,100.76516723632812,80.74925231933594,58.502723693847656,62.959312438964844,332.1458740234375,281.3835754394531,55.051963806152344,60.683109283447266,45.6639404296875,26.89968490600586,53.984676361083984,54.576499938964844,95.88689422607422,109.88978576660156,136.17039489746094,43.51411437988281,60.124088287353516,136.9287109375,65.68401336669922,114.29102325439453,269.291259765625,165.5087890625,31.319091796875,312.9311828613281,197.978515625,39.83763885498047,69.89775848388672,304.2890625,332.6830749511719,14.654939651489258,16.89569091796875,218.3338623046875,118.3765869140625,366.70526123046875,49.45784378051758,38.271121978759766,40.93234634399414,48.47871017456055,58.244384765625,41.91704559326172,35.21284103393555,18.25967025756836,102.06090545654297,75.7929916381836
2020-11-19,116.61859130859375,78.17391204833984,25.102901458740234,61.06029510498047,29.65852165222168,148.42398071289062,100.6913070678711,80.95289611816406,58.6605224609375,63.221927642822266,333.54425048828125,283.5853576660156,54.50290298461914,61.05497360229492,46.767066955566406,26.91873550415039,54.27279281616211,54.98005294799805,97.1385726928711,111.5129623413086,136.33819580078125,43.585575103759766,60.54707717895508,137.6337127685547,65.90607452392578,114.92537689208984,269.8120422363281,166.778564453125,31.369693756103516,316.3587951660156,198.15560913085938,40.519466400146484,70.16997528076172,305.56268310546875,334.0321044921875,14.762385368347168,16.95510482788086,219.7782745361328,118.71257781982422,369.9794006347656,49.66549301147461,38.5028076171875,41.03585433959961,48.81754684448242,58.629005432128906,41.8903694152832,35.109375,18.415800094604492,102.25125122070312,75.94780731201172
2020-11-20,115.41742706298828,77.5358657836914,24.883182525634766,60.60051345825195,29.501998901367188,147.6458740234375,100.4604721069336,80.22159576416016,58.2923583984375,63.16758346557617,331.26025390625,281.6454162597656,54.5114860534668,60.91194534301758,46.31336212158203,26.91873550415039,54.013484954833984,54.91279602050781,96.6456298828125,110.99214172363281,137.1083221435547,43.8267822265625,60.72835159301758,138.8545379638672,65.7835464477539,114.8252182006836,267.84521484375,166.957275390625,31.1588191986084,313.8194580078125,198.3512725830078,40.27001190185547,69.79054260253906,303.51751708984375,331.7899475097656,14.656164169311523,16.88083267211914,218.5665283203125,118.20408630371094,369.7245788574219,49.45784378051758,38.63151931762695,41.32052993774414,48.79212951660156,59.288387298583984,42.17485427856445,35.29905700683594,18.160316467285156,102.35513305664062,76.01660919189453
2020-11-23,115.38860321044922,77.34937286376953,25.350082397460938,61.6643180847168,31.58633804321289,149.2694091796875,100.20191955566406,81.56385803222656,58.30989074707031,63.6927604675293,333.2458801269531,281.6552429199219,54.520076751708984,60.94056701660156,50.44118118286133,27.69028663635254,55.41569137573242,56.1330680847168,98.13412475585938,112.57376861572266,137.31568908691406,43.94291687011719,60.65065383911133,138.21829223632812,65.88310241699219,114.96710968017578,270.9217834472656,170.08009338378906,31.057601928710938,314.022216796875,197.90394592285156,43.15536117553711,69.92251586914062,305.311767578125,333.7808837890625,14.648837089538574,17.085826873779297,218.63433837890625,119.82035064697266,375.4709167480469,49.46055603027344,38.65727233886719,41.3119010925293,48.74130630493164,59.32502365112305,42.005943298339844,35.40252685546875,18.373218536376953,102.32917022705078,75.95638275146484
2020-11-24,116.99337005615234,78.19600677490234,26.238121032714844,63.81896209716797,33.20931625366211,151.48854064941406,100.49740600585938,82.98946380615234,58.70436096191406,65.27738952636719,338.61572265625,285.6124572753906,55.10344696044922,62.18968963623047,53.03885269165039,28.833332061767578,54.45526885986328,55.94090270996094,98.44341278076172,113.1872329711914,136.4962158203125,44.53251266479492,61.55703353881836,136.84275817871094,66.08213806152344,114.70834350585938,275.07861328125,173.27813720703125,31.040725708007812,317.7490234375,198.10897827148438,45.34223175048828,70.2936782836914,310.2573547363281,339.1211242675781,14.806337356567383,17.433429718017578,220.90281677246094,122.38093566894531,381.821044921875,49.632328033447266,39.275089263916016,41.863990783691406,49.495216369628906,60.22249984741211,42.237083435058594,36.08367156982422,19.061594009399414,102.19071960449219,75.87904357910156
2020-11-25,117.24320220947266,78.55426788330078,26.146564483642578,63.512428283691406,32.43489456176758,151.67108154296875,100.12806701660156,82.3599853515625,58.66928482055664,64.5982437133789,338.0937805175781,287.3680114746094,55.2492790222168,62.18015670776367,52.23820114135742,28.690454483032227,54.541709899902344,55.75833511352539,98.43859100341797,112.93802642822266,137.1873321533203,44.28237533569336,61.479366302490234,136.42147827148438,66.05152130126953,114.77510070800781,273.53125,172.68556213378906,31.116655349731445,319.2358703613281,197.68959045410156,44.361045837402344,70.33494567871094,309.74603271484375,338.6372985839844,14.895467758178711,17.323505401611328,221.94979858398438,121.60003662109375,379.16961669921875,49.569053649902344,39.197872161865234,41.67421340942383,49.503684997558594,59.79206848144531,41.9881591796875,35.83363342285156,19.1396541595459,102.15609741210938,75.84458923339844
2020-11-27,117.86781311035156,79.27083587646484,26.064170837402344,63.2509765625,32.0559196472168,151.99769592285156,101.05142211914062,82.22111511230469,58.6605224609375,64.93329620361328,339.0353088378906,290.015869140625,54.700225830078125,62.58063888549805,51.49091720581055,28.73807716369629,54.69537353515625,55.65264129638672,99.7579345703125,114.2832260131836,141.40318298339844,44.702239990234375,61.90235900878906,137.7454376220703,66.1587142944336,115.18408966064453,273.98907470703125,173.41925048828125,31.057601928710938,321.6014099121094,200.37367248535156,43.853824615478516,70.02149200439453,310.62921142578125,339.55841064453125,15.024886131286621,17.329444885253906,223.6947784423828,121.50923156738281,379.933837890625,49.776973724365234,39.47246170043945,42.06239700317383,49.732398986816406,60.652923583984375,43.22389602661133,35.695682525634766,19.10417366027832,102.32917022705078,76.00806427001953
2020-11-30,118.65576934814453,79.79109191894531,25.524028778076172,61.83559036254883,30.284643173217773,151.07550048828125,101.32840728759766,81.48981475830078,58.65176773071289,64.28134155273438,337.5343322753906,290.6075439453125,53.91094207763672,62.361324310302734,48.092586517333984,27.928421020507812,53.715755462646484,54.989662170410156,100.8163070678711,115.60601043701172,143.14083862304688,43.531978607177734,60.555702209472656,137.573486328125,66.08979034423828,115.58477020263672,271.59002685546875,170.26821899414062,30.78767967224121,323.7641906738281,200.98878479003906,41.42581558227539,69.28738403320312,309.23486328125,338.0140075683594,15.035877227783203,17.192781448364258,224.16978454589844,120.21985626220703,373.4422607421875,49.88546371459961,38.69160079956055,41.0272331237793,48.89377975463867,58.96786117553711,41.783687591552734,34.980045318603516,18.67127799987793,102.46761322021484,76.11119842529297
2020-12-01,120.17404174804688,80.6131591796875,25.917692184448242,62.89039611816406,30.42470932006836,152.199462890625,102.17788696289062,81.28617095947266,59.168941497802734,64.98763275146484,341.2260437011719,294.3319396972656,54.288421630859375,63.50556182861328,47.861289978027344,29.2143497467041,52.97624588012695,54.682186126708984,102.6479263305664,117.51356506347656,143.47653198242188,44.38957595825195,61.980037689208984,135.5450439453125,66.25969696044922,115.14653015136719,273.2565002441406,171.84844970703125,31.17569351196289,326.4482421875,202.44264221191406,41.666961669921875,70.1781997680664,312.63726806640625,341.7353515625,15.206808090209961,17.33538818359375,226.41883850097656,121.33671569824219,378.1883850097656,50.21995162963867,39.523948669433594,41.881248474121094,50.13052749633789,60.17671585083008,42.210418701171875,36.25611114501953,19.615131378173828,102.1434326171875,75.88123321533203
2020-12-02,119.99147033691406,80.66960144042969,26.20149803161621,63.60260009765625,31.413326263427734,151.2484130859375,102.94427490234375,81.3972396850586,58.67805862426758,64.1545639038086,341.94384765625,294.7102966308594,54.64875411987305,64.09678649902344,49.40922546386719,29.738245010375977,51.58364486694336,53.61564254760742,103.05870819091797,117.85865020751953,143.15072631835938,44.45210647583008,61.98867416381836,134.46932983398438,66.44415283203125,114.76178741455078,273.93414306640625,172.02713012695312,30.84673500061035,326.0523986816406,203.43052673339844,42.95579528808594,69.62556457519531,313.29736328125,342.4610595703125,15.182389259338379,17.406686782836914,225.8565673828125,121.96327209472656,377.3863220214844,49.921634674072266,39.58401107788086,41.863990783691406,50.08817672729492,60.075965881347656,41.91704559326172,36.747581481933594,19.76416015625,102.03074645996094,75.7519760131836
2020-12-03,119.91458892822266,80.71624755859375,26.210651397705078,63.63865661621094,31.742868423461914,151.67108154296875,102.81501007080078,81.61016082763672,58.82707595825195,63.71088409423828,341.8507080078125,295.1274108886719,54.0825309753418,63.81071853637695,50.04084777832031,29.633468627929688,53.177921295166016,54.672584533691406,103.02005004882812,118.01202392578125,144.5823211669922,44.961307525634766,62.09225082397461,135.55364990234375,66.48261260986328,115.21339416503906,274.73980712890625,172.99598693847656,31.07447624206543,326.2552185058594,203.42120361328125,43.43806838989258,70.21121215820312,313.20428466796875,342.39593505859375,15.168960571289062,17.4453125,225.84686279296875,122.21747589111328,379.5376281738281,49.84025955200195,39.7213020324707,42.27806091308594,50.24065399169922,60.22249984741211,41.899261474609375,37.07522201538086,20.033832550048828,102.20410919189453,75.8984375
2020-12-04,121.11573028564453,81.39108276367188,26.531070709228516,64.54918670654297,33.47295379638672,151.81517028808594,103.91378021240234,82.5821533203125,59.28289794921875,64.9966812133789,344.796630859375,296.33001708984375,53.54204559326172,63.867916107177734,54.26652145385742,31.0432186126709,52.55366897583008,54.50923156738281,106.02603149414062,121.22960662841797,145.925048828125,45.425838470458984,62.61883544921875,133.56570434570312,66.75933074951172,114.57777404785156,277.056396484375,177.02175903320312,31.4877872467041,329.9144287109375,206.04934692382812,45.80786895751953,71.28350067138672,315.9002380371094,345.3357849121094,15.237332344055176,17.656246185302734,227.30101013183594,123.77925872802734,386.6520690917969,50.16572952270508,40.107452392578125,42.56273651123047,50.689605712890625,60.49723434448242,41.95260238647461,37.161434173583984,20.381567001342773,101.92670440673828,75.70030975341797
