,region,original_currency,converted_to_usd,first_date,last_date,observations
XLP,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
XLU,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
XLV,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
XLY,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
XME,US,USD,False,2006-06-22 00:00:00,2025-12-01 00:00:00,4892
XOP,US,USD,False,2006-06-22 00:00:00,2025-12-01 00:00:00,4892
XRT,US,USD,False,2006-06-22 00:00:00,2025-12-01 00:00:00,4892
AAXJ,ASIA_PACIFIC,USD,False,2008-08-15 00:00:00,2025-12-01 00:00:00,4351
AGG,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
BND,US,USD,False,2007-04-10 00:00:00,2025-12-01 00:00:00,4693
DXJ,JAPAN,USD,False,2006-06-16 00:00:00,2025-12-01 00:00:00,4896
EPI,ASIA_PACIFIC,USD,False,2008-02-26 00:00:00,2025-12-01 00:00:00,4471
EPP,ASIA_PACIFIC,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
EWA,ASIA_PACIFIC,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
EWD,EUROPE,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
EWG,EUROPE,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
EWH,ASIA_PACIFIC,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
EWI,EUROPE,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
EWJ,JAPAN,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
EWK,EUROPE,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
EWL,EUROPE,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
EWM,ASIA_PACIFIC,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
EWN,EUROPE,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
EWO,EUROPE,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
EWP,EUROPE,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
EWQ,EUROPE,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
EWS,ASIA_PACIFIC,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
EWT,ASIA_PACIFIC,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
EWU,UK,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
EWY,ASIA_PACIFIC,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
EZU,EUROPE,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
FEZ,EUROPE,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
FXI,ASIA_PACIFIC,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
GMF,ASIA_PACIFIC,USD,False,2007-03-23 00:00:00,2025-12-01 00:00:00,4704
GXC,ASIA_PACIFIC,USD,False,2007-03-23 00:00:00,2025-12-01 00:00:00,4704
HYG,US,USD,False,2007-04-11 00:00:00,2025-12-01 00:00:00,4692
IEF,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
IEI,US,USD,False,2007-01-11 00:00:00,2025-12-01 00:00:00,4753
IEV,EUROPE,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
IGIB,US,USD,False,2007-01-11 00:00:00,2025-12-01 00:00:00,4753
ITM,US,USD,False,2007-12-06 00:00:00,2025-12-01 00:00:00,4525
IWN,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
IWO,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
IXJ,EUROPE,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
JNK,US,USD,False,2007-12-04 00:00:00,2025-12-01 00:00:00,4527
JPXN,JAPAN,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
LQD,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
MUB,US,USD,False,2007-09-10 00:00:00,2025-12-01 00:00:00,4587
PGJ,ASIA_PACIFIC,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
SCJ,JAPAN,USD,False,2007-12-27 00:00:00,2025-12-01 00:00:00,4511
SHV,US,USD,False,2007-01-11 00:00:00,2025-12-01 00:00:00,4753
SHY,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
SLYG,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
SLYV,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
SPEU,EUROPE,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
SPTL,US,USD,False,2007-05-30 00:00:00,2025-12-01 00:00:00,4658
THD,ASIA_PACIFIC,USD,False,2008-04-01 00:00:00,2025-12-01 00:00:00,4447
TIP,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
TLT,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
VBK,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
VBR,US,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
VGK,EUROPE,USD,False,2005-03-10 00:00:00,2025-12-01 00:00:00,5216
VPL,ASIA_PACIFIC,USD,False,2005-03-10 00:00:00,2025-12-01 00:00:00,5216
ACWI,GLOBAL,USD,False,2008-03-28 00:00:00,2025-12-01 00:00:00,4449
BWX,GLOBAL,USD,False,2007-10-11 00:00:00,2025-12-01 00:00:00,4564
CWI,GLOBAL,USD,False,2007-01-17 00:00:00,2025-12-01 00:00:00,4750
DBA,GLOBAL,USD,False,2007-01-05 00:00:00,2025-12-01 00:00:00,4757
DBC,GLOBAL,USD,False,2006-02-06 00:00:00,2025-12-01 00:00:00,4987
DBO,GLOBAL,USD,False,2007-01-05 00:00:00,2025-12-01 00:00:00,4757
ECH,LATAM,USD,False,2007-11-20 00:00:00,2025-12-01 00:00:00,4536
EEM,EMERGING,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
EFA,GLOBAL,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
EMB,GLOBAL,USD,False,2007-12-19 00:00:00,2025-12-01 00:00:00,4516
EWW,LATAM,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
EWZ,LATAM,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
EXI,GLOBAL,USD,False,2006-09-27 00:00:00,2025-12-01 00:00:00,4825
EZA,EMERGING,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
GDX,GLOBAL,USD,False,2006-05-22 00:00:00,2025-12-01 00:00:00,4914
GLD,GLOBAL,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
GSG,GLOBAL,USD,False,2006-07-21 00:00:00,2025-12-01 00:00:00,4872
GXG,LATAM,USD,False,2009-02-05 00:00:00,2025-12-01 00:00:00,4231
IAU,GLOBAL,USD,False,2005-01-28 00:00:00,2025-12-01 00:00:00,5244
IGF,GLOBAL,USD,False,2007-12-12 00:00:00,2025-12-01 00:00:00,4521
IGOV,GLOBAL,USD,False,2009-01-30 00:00:00,2025-12-01 00:00:00,4236
ILF,LATAM,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
IOO,GLOBAL,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
IXC,GLOBAL,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
IXG,GLOBAL,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
IXN,GLOBAL,USD,False,2005-01-03 00:00:00,2025-12-01 00:00:00,5262
JXI,GLOBAL,USD,False,2006-09-22 00:00:00,2025-12-01 00:00:00,4828
MOO,GLOBAL,USD,False,2007-09-05 00:00:00,2025-12-01 00:00:00,4590
MXI,GLOBAL,USD,False,2006-09-22 00:00:00,2025-12-01 00:00:00,4828
PCY,GLOBAL,USD,False,2007-10-11 00:00:00,2025-12-01 00:00:00,4564
PIN,ASIA_PACIFIC,USD,False,2008-03-05 00:00:00,2025-12-01 00:00:00,4465
SCZ,GLOBAL,USD,False,2007-12-12 00:00:00,2025-12-01 00:00:00,4521
SLV,GLOBAL,USD,False,2006-04-28 00:00:00,2025-12-01 00:00:00,4930
SPDW,GLOBAL,USD,False,2007-04-26 00:00:00,2025-12-01 00:00:00,4681
SPEM,EMERGING,USD,False,2007-03-23 00:00:00,2025-12-01 00:00:00,4704
TUR,EMERGING,USD,False,2008-03-28 00:00:00,2025-12-01 00:00:00,4449
UNG,GLOBAL,USD,False,2007-04-18 00:00:00,2025-12-01 00:00:00,4687
USO,GLOBAL,USD,False,2006-04-10 00:00:00,2025-12-01 00:00:00,4943
VEA,GLOBAL,USD,False,2007-07-26 00:00:00,2025-12-01 00:00:00,4618
VT,GLOBAL,USD,False,2008-06-26 00:00:00,2025-12-01 00:00:00,4386
VWO,EMERGING,USD,False,2005-03-10 00:00:00,2025-12-01 00:00:00,5216
