entry_zscore,capital_per_pair,max_positions,total_pnl,total_trades,win_rate,profit_factor,max_drawdown,pnl_per_trade,annualized_return
1.5,10000,5,-3152.939720811062,477,52.68931867073948,0.9315073184487497,7707.200274753165,-6.609936521616483,-0.45572381458806044
1.5,10000,8,-3954.7590663621477,579,51.186499408038856,0.8888180147174773,5030.132635205649,-6.830326539485575,-0.5761640222245012
1.5,10000,10,-4006.5893778583686,611,50.71124034308103,0.8695291365355322,5063.6618155530505,-6.557429423663451,-0.584016332507864
1.5,10000,15,-2609.6950876616315,613,50.87075952797845,0.8735220860993262,3400.636380106118,-4.25725136649532,-0.37520832058961506
1.5,15000,5,-3152.939720811062,477,52.68931867073948,0.9315073184487497,7707.200274753165,-6.609936521616483,-0.45572381458806044
1.5,15000,8,-3954.7590663621477,579,51.186499408038856,0.8888180147174773,5030.132635205649,-6.830326539485575,-0.5761640222245012
1.5,15000,10,-4006.5893778583686,611,50.71124034308103,0.8695291365355322,5063.6618155530505,-6.557429423663451,-0.584016332507864
1.5,15000,15,-2609.6950876616315,613,50.87075952797845,0.8735220860993262,3400.636380106118,-4.25725136649532,-0.37520832058961506
1.5,20000,5,-3152.939720811062,477,52.68931867073948,0.9315073184487497,7707.200274753165,-6.609936521616483,-0.45572381458806044
1.5,20000,8,-3954.7590663621477,579,51.186499408038856,0.8888180147174773,5030.132635205649,-6.830326539485575,-0.5761640222245012
1.5,20000,10,-4006.5893778583686,611,50.71124034308103,0.8695291365355322,5063.6618155530505,-6.557429423663451,-0.584016332507864
1.5,20000,15,-2609.6950876616315,613,50.87075952797845,0.8735220860993262,3400.636380106118,-4.25725136649532,-0.37520832058961506
2.0,10000,5,3283.230858910044,260,50.50362769394903,1.1184936246023294,3820.5803159719044,12.627810995807861,0.44698942631498095
2.0,10000,8,1906.4749958286338,298,50.02597050874914,1.0906103415233281,2658.275629766618,6.3975671000960865,0.2627607136430621
2.0,10000,10,1835.1605180970469,299,50.080534000812634,1.1108549636153817,2084.976562985401,6.137660595642298,0.2530945559231723
2.0,10000,15,1233.7861515562645,299,50.080534000812634,1.1133296187872723,1361.1578956127457,4.126375088816938,0.17108724474166337
2.0,15000,5,3283.230858910044,260,50.50362769394903,1.1184936246023294,3820.5803159719044,12.627810995807861,0.44698942631498095
2.0,15000,8,1906.4749958286338,298,50.02597050874914,1.0906103415233281,2658.275629766618,6.3975671000960865,0.2627607136430621
2.0,15000,10,1835.1605180970469,299,50.080534000812634,1.1108549636153817,2084.976562985401,6.137660595642298,0.2530945559231723
2.0,15000,15,1233.7861515562645,299,50.080534000812634,1.1133296187872723,1361.1578956127457,4.126375088816938,0.17108724474166337
2.0,20000,5,3283.230858910044,260,50.50362769394903,1.1184936246023294,3820.5803159719044,12.627810995807861,0.44698942631498095
2.0,20000,8,1906.4749958286338,298,50.02597050874914,1.0906103415233281,2658.275629766618,6.3975671000960865,0.2627607136430621
2.0,20000,10,1835.1605180970469,299,50.080534000812634,1.1108549636153817,2084.976562985401,6.137660595642298,0.2530945559231723
2.0,20000,15,1233.7861515562645,299,50.080534000812634,1.1133296187872723,1361.1578956127457,4.126375088816938,0.17108724474166337
2.5,10000,5,8968.842216461231,120,56.37400793650794,1.9880490661302563,1432.478455790997,74.7403518038436,1.1637049517956077
2.5,10000,8,5475.615529603775,129,55.74618364092048,1.762238911559951,1030.243075074709,42.44663201243237,0.7314175593054806
2.5,10000,10,4346.085721457412,129,55.74618364092048,1.769180634548266,801.5521257052897,33.69058698804195,0.5862107280308226
2.5,10000,15,2866.992758860272,129,55.74618364092048,1.7785113186977701,514.7962356688422,22.224750068684276,0.39176246854166763
2.5,15000,5,8968.842216461231,120,56.37400793650794,1.9880490661302563,1432.478455790997,74.7403518038436,1.1637049517956077
2.5,15000,8,5475.615529603775,129,55.74618364092048,1.762238911559951,1030.243075074709,42.44663201243237,0.7314175593054806
2.5,15000,10,4346.085721457412,129,55.74618364092048,1.769180634548266,801.5521257052897,33.69058698804195,0.5862107280308226
2.5,15000,15,2866.992758860272,129,55.74618364092048,1.7785113186977701,514.7962356688422,22.224750068684276,0.39176246854166763
2.5,20000,5,8968.842216461231,120,56.37400793650794,1.9880490661302563,1432.478455790997,74.7403518038436,1.1637049517956077
2.5,20000,8,5475.615529603775,129,55.74618364092048,1.762238911559951,1030.243075074709,42.44663201243237,0.7314175593054806
2.5,20000,10,4346.085721457412,129,55.74618364092048,1.769180634548266,801.5521257052897,33.69058698804195,0.5862107280308226
2.5,20000,15,2866.992758860272,129,55.74618364092048,1.7785113186977701,514.7962356688422,22.224750068684276,0.39176246854166763
2.8,10000,5,9188.682618928424,74,62.827380952380956,2.702387484430519,1138.3963588372335,124.171386742276,1.1901070528501867
2.8,10000,8,6035.707410447604,74,62.827380952380956,2.6235925122162937,804.9374417812805,81.56361365469735,0.8024035024268406
2.8,10000,10,4780.711986241295,74,62.827380952380956,2.639090432748588,628.3178861969845,64.60421603028776,0.6424134143061755
2.8,10000,15,3145.1314928888223,74,62.827380952380956,2.659957549180784,405.34329696666055,42.501776930930035,0.4287108474844814
2.8,15000,5,9188.682618928424,74,62.827380952380956,2.702387484430519,1138.3963588372335,124.171386742276,1.1901070528501867
2.8,15000,8,6035.707410447604,74,62.827380952380956,2.6235925122162937,804.9374417812805,81.56361365469735,0.8024035024268406
2.8,15000,10,4780.711986241295,74,62.827380952380956,2.639090432748588,628.3178861969845,64.60421603028776,0.6424134143061755
