universe,leg_x,leg_y,correlation,n_obs,spread_mean,spread_std,hedge_ratio,coint_statistic,coint_pvalue,half_life,spread_range_pct,excluded_reason
full_universe,VV,IVW,0.9434885173688827,252,1.9121628994466895,0.00940271939734225,0.7990341997252085,-2.159452808379479,0.4453605859057243,16.437611651044687,12.301633807020366,pvalue:0.4453605859057243
full_universe,XLI,ITA,0.7565295519503821,252,0.4103841784175948,0.02245885015110675,0.8970925328282348,-2.1514562480546204,0.44951917287566645,16.788450574138352,10.592137122223548,pvalue:0.44951917287566645
full_universe,VTV,VBK,0.8005800593351906,252,-0.45150163631010504,0.02654228894191578,0.9962366531342791,-2.151173389170366,0.4496663603034221,19.145173904742517,15.072967607294046,pvalue:0.4496663603034221
full_universe,EWG,EWU,0.7911638563362671,252,0.5640488932044454,0.019182818135333474,0.8127125208129161,-2.1509817497047576,0.4497660843947752,15.303806934701019,10.294983185650466,pvalue:0.4497660843947752
full_universe,FEZ,EEM,0.7199878049859535,252,1.5415677067619928,0.02932022644209923,0.6307419171931484,-2.1491847243211155,0.4507013359122846,21.1265059200103,16.718940347007788,pvalue:0.4507013359122846
full_universe,VBR,XRT,0.8514852068403064,252,0.4130874980703514,0.03058924040678253,1.116627558707352,-2.1470054121248485,0.45183584887363193,18.782995347576016,15.49611130091587,pvalue:0.45183584887363193
full_universe,EZU,EWN,0.8807974665461873,252,1.4054967541455217,0.016352578501413202,0.6383196566491546,-2.1449216935089326,0.45292089857471307,18.37720437178677,13.569918941133139,pvalue:0.45292089857471307
full_universe,BND,VCSH,0.9171801154173154,252,-0.11779789150402759,0.008146512761810071,1.0141305983645552,-2.1394713100664284,0.4557603893390098,18.677708977282087,3.702244657079632,pvalue:0.4557603893390098
full_universe,IEI,IGIB,0.93538982336728,252,2.0052967697915838,0.004153556639625494,0.6964022275081136,-2.1382092508060517,0.45641814656198887,21.611525589000323,4.493295003012676,pvalue:0.45641814656198887
full_universe,VB,VBK,0.9722508683250529,252,-0.04992157586721374,0.009285561321461206,0.9839657264562215,-2.1374969431452597,0.45678942709746895,17.13427199511633,5.196259145854867,pvalue:0.45678942709746895
full_universe,AGG,VCSH,0.9195307968134292,252,0.17746338329249645,0.008334458083287219,1.0147666496826284,-2.1373065858060105,0.4568886532563807,18.77502189831769,3.7371700771295764,pvalue:0.4568886532563807
full_universe,VV,SPYG,0.9438045868752375,252,2.04012479864549,0.009368331185048026,0.7963805001607865,-2.1318493407493313,0.45973417937886607,16.628161160410144,12.46704403409504,pvalue:0.45973417937886607
full_universe,JNK,IGIB,0.751208737252817,252,0.45310157594755435,0.009286456622528656,1.0316517316975111,-2.127370595204485,0.4620706735386759,22.120659524758494,4.8594497207798355,pvalue:0.4620706735386759
full_universe,AGG,VCIT,0.973905925309363,252,0.9833492483511048,0.003776689237424221,0.8202065683326394,-2.118751189933926,0.4665699295081309,18.921181152712727,2.675680421006078,pvalue:0.4665699295081309
full_universe,VBR,VBK,0.91029326045626,252,-0.1665137650828736,0.016260552654717014,0.9722077674856027,-2.116385325795183,0.46780543154251586,17.526993354738735,9.055613908499936,pvalue:0.46780543154251586
full_universe,FEZ,EWN,0.8871730098913201,252,1.1065187929050093,0.01707746426706345,0.721298880508331,-2.1152773598108583,0.4683841061277021,18.97067456355421,11.913919979057823,pvalue:0.4683841061277021
full_universe,IJR,VB,0.972879031231008,252,-0.22721742970700995,0.014417241119081253,0.9096108388585609,-2.1078917330644984,0.47224257775340095,19.72478533665338,6.998548519208853,pvalue:0.47224257775340095
full_universe,VGK,MOO,0.7223181128064606,252,3.7137725407359943,0.04410370601800662,0.10432451230659981,-2.107035929429866,0.47268978389805283,27.637618047133806,19.926147809753274,pvalue:0.47268978389805283
full_universe,RSP,ITB,0.7053066379212753,252,2.279952947409049,0.022190140334875444,0.6012268213535995,-2.1066601330796155,0.4728861653695869,15.89302461841721,26.873669562382943,pvalue:0.4728861653695869
full_universe,VGK,VWO,0.719554070004498,252,1.8171384984501453,0.0238174712197803,0.6275233460806846,-2.1027648623627533,0.4749219517323505,21.28313695473171,16.34942344089953,pvalue:0.4749219517323505
full_universe,VTV,DVY,0.8747991437008634,252,0.8908127288604109,0.015463130411531597,0.8728288938642018,-2.1026689592484917,0.47497207834848143,23.751318905894397,8.594443908244955,pvalue:0.47497207834848143
full_universe,IEF,LQD,0.937012344979616,252,0.4075546759722142,0.005928050102527107,0.884281875644539,-2.1017056508214416,0.4754755919665707,21.52027814688142,3.7864100601225346,pvalue:0.4754755919665707
full_universe,JNK,PFF,0.748625640000632,252,1.8172351389916843,0.008518296818046675,0.7832130236627013,-2.0990901757060407,0.4768427824706836,14.688379534072428,5.39829682369178,pvalue:0.4768427824706836
full_universe,SPYV,KBE,0.7345031396003656,252,1.9884123842202637,0.022535725495034735,0.4907482505062746,-2.095694305177711,0.4786181098829433,21.159426080811357,33.77689602522638,pvalue:0.4786181098829433
full_universe,IVE,KBE,0.7341634073521857,252,3.3187173652075925,0.02241370170955146,0.4877240197393298,-2.0949044042761154,0.47903109084525397,21.16983345608244,33.896350177596204,pvalue:0.47903109084525397
full_universe,IWB,RSP,0.8310716855597702,252,-0.764900048473857,0.018759088957551146,1.260487542234206,-2.0811412905440645,0.48622794050782137,19.281847641498793,13.16210631866474,pvalue:0.48622794050782137
full_universe,IWB,VB,0.8040561013069842,252,-0.5272004519466125,0.026438537036738298,1.147509754046236,-2.0757633533072704,0.48904034845568184,17.784268002990572,16.199376321680276,pvalue:0.48904034845568184
full_universe,EFA,EWS,0.7175272536086584,252,3.233633969819902,0.026404267287267743,0.3734796203274209,-2.0649179818953036,0.4947114932485932,22.75541259808176,30.090231490561266,pvalue:0.4947114932485932
full_universe,HYG,IGIB,0.7496279390388543,252,0.18542287753777614,0.00944768720868538,1.0522069561819671,-2.062795781604322,0.4958210529692823,22.6286892951796,5.029052871803714,pvalue:0.4958210529692823
full_universe,SHY,BND,0.8702242890425086,252,1.5879127614504893,0.005270640445934514,0.6521816933699596,-2.0607036544301933,0.4969148165266307,19.50010635384766,4.624713035852153,pvalue:0.4969148165266307
full_universe,IJR,VBK,0.9155845127491966,252,-0.1619835078473967,0.020140554663416313,0.8750056463940532,-2.0605840499179657,0.49697734335710697,20.378584533874644,10.289906265532693,pvalue:0.49697734335710697
full_universe,VTV,IVE,0.9807478949450142,252,-0.9936007307035823,0.005195642404757289,1.1647651903432765,-2.057310210006366,0.49868873090177823,16.99490776217314,4.440784570046034,pvalue:0.49868873090177823
full_universe,XLB,VTV,0.8049758508396386,252,0.889415207276417,0.019421259551690728,0.7080690102114623,-2.0567284267622723,0.4989928322098682,18.601714187534725,13.452959815415113,pvalue:0.4989928322098682
full_universe,RSP,VV,0.800002579997693,252,1.149483200168942,0.015563059471126612,0.7204175428667013,-2.056347726340261,0.49919182228830206,18.86137300403993,14.516203511138329,pvalue:0.49919182228830206
full_universe,IEF,VCSH,0.8981645733099433,252,0.3719681651104124,0.01309842896426635,0.96173838362204,-2.053920175282313,0.5004606095768132,24.804570954109387,5.575702111089441,pvalue:0.5004606095768132
full_universe,VTI,RSP,0.851217505787061,252,-0.835986905244563,0.017944908683104863,1.2536726135503065,-2.0453436904884814,0.5049419115141934,20.008502411642525,12.562529934143186,pvalue:0.5049419115141934
full_universe,KRE,IAI,0.7444808164305098,252,-0.3305127052101659,0.05196912632163745,0.8930061191540151,-2.032183561388676,0.5118131396033887,20.430248250859705,25.665460701997617,pvalue:0.5118131396033887
