trading_year,pairs_selected,total_trades,winning_trades,win_rate,total_pnl,ending_capital,stop_loss_exits,convergence_exits,max_holding_exits,regime_break_exits,period_end_exits
2010,9,121,39,32.231404958677686,-815.9389296468513,49184.06107035315,73,30,9,5.0,4.0
2011,6,101,35,34.65346534653465,-676.3226180467578,48507.73845230637,61,24,13,,3.0
2016,3,44,19,43.18181818181818,89.23323127611701,48596.971683582466,23,13,7,,1.0
2017,7,94,38,40.42553191489361,-280.622264113679,48316.34941946878,47,31,7,6.0,3.0
2020,4,29,10,34.48275862068966,178.46811286961412,48494.8175323384,16,8,5,,
