trading_year,pairs_selected,total_trades,winning_trades,win_rate,total_pnl,ending_capital
2007,1,0,0,0,0,50000.0
2008,1,0,0,0,0,50000.0
2009,6,0,0,0,0,50000.0
2010,6,0,0,0,0,50000.0
2011,4,0,0,0,0,50000.0
2012,2,0,0,0,0,50000.0
2013,1,0,0,0,0,50000.0
2014,1,0,0,0,0,50000.0
2016,6,0,0,0,0,50000.0
2017,3,0,0,0,0,50000.0
2019,1,0,0,0,0,50000.0
2020,4,0,0,0,0,50000.0
2021,2,0,0,0,0,50000.0
2023,1,0,0,0,0,50000.0
2024,1,0,0,0,0,50000.0
