pair,leg_x,leg_y,sector,direction,entry_date,exit_date,holding_days,entry_z,exit_z,hedge_ratio,half_life,pnl,exit_reason,capital_at_entry
XLY_XRT,XLY,XRT,CONSUMER_DISC,SHORT,2010-04-19,2010-05-06,13,2.9976102134116283,0.03245185309833962,0.7542927071836641,13.220005897924523,65.32278198346044,convergence,50000.0
FEZ_EWL,FEZ,EWL,EUROPE,LONG,2010-05-06,2010-05-10,2,-3.3933562122917884,0.05376028800457792,1.1655904559487027,6.132075550582108,129.77698649425517,convergence,50065.32278198346
EZU_EWU,EZU,EWU,EUROPE,LONG,2010-04-28,2010-05-18,14,-3.115406622797122,-0.8759895195081614,1.0469804388799806,5.963186379561934,25.745666702379182,max_holding,50000.0
EWU_EWQ,EWU,EWQ,EUROPE,SHORT,2010-04-27,2010-05-19,16,2.9611056245848784,0.7784969768961121,0.9871937579496305,6.455806101579485,42.130640273074214,max_holding,50000.0
FEZ_EWL,FEZ,EWL,EUROPE,LONG,2010-05-14,2010-05-20,4,-3.0306008041214176,-0.07590403819775307,1.1655904559487027,6.132075550582108,105.94943714048831,convergence,50195.09976847771
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2010-05-06,2010-05-21,11,-4.980326179468041,0.007401764586787833,1.1120283439561278,6.150057843900465,286.9547279924651,convergence,50065.32278198346
EWG_EWU,EWG,EWU,EUROPE,SHORT,2010-05-18,2010-05-26,6,2.8164498151123922,-0.16845548324457124,0.959418377596196,5.1524661102392395,31.21031256071267,convergence,50220.84543518009
TLT_BND,TLT,BND,BONDS_GOV,SHORT,2010-05-04,2010-06-14,28,3.143602106616532,1.1954638806351843,-0.8413367668101543,11.310806781235772,-369.381001897112,max_holding,50000.0
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2010-06-08,2010-06-15,5,-2.8470213007508547,-0.21829242944253582,1.1120283439561278,6.150057843900465,293.44999204989426,convergence,50687.09055314683
FEZ_EWL,FEZ,EWL,EUROPE,LONG,2010-06-04,2010-06-15,7,-2.836409327684861,-0.12589099029738735,1.1655904559487027,6.132075550582108,117.96543550811637,convergence,50687.09055314683
FEZ_EWL,FEZ,EWL,EUROPE,LONG,2010-06-28,2010-07-13,10,-3.7402743314512334,-0.2121410507351185,1.1655904559487027,6.132075550582108,228.53932868677484,convergence,50729.124978807726
VGK_EWL,VGK,EWL,EUROPE,LONG,2010-06-28,2010-07-19,14,-5.238267862887816,0.07367358075858782,1.1493583890371042,8.273978147465268,94.74975921879002,convergence,50729.124978807726
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2010-06-28,2010-07-20,15,-3.734544857070711,-0.39739972370873344,1.1120283439561278,6.150057843900465,394.0489330528808,max_holding,50729.124978807726
VFH_IAI,VFH,IAI,FINANCIALS,SHORT,2010-06-18,2010-07-29,28,2.8509327089452516,0.23360184092903696,1.0479223703362872,14.580256609700431,-13.238205882294563,convergence,50729.124978807726
XLF_IAI,XLF,IAI,FINANCIALS,SHORT,2010-06-29,2010-07-29,21,3.172578083342242,0.16080677957030512,1.2110830782653645,12.362511392812893,177.2345665121117,convergence,50729.124978807726
EWT_EWY,EWT,EWY,ASIA_DEV,LONG,2011-03-30,2011-04-26,18,-3.276747590972535,-1.525818609205813,0.9510986122103829,7.302834201561681,-78.17307465170904,max_holding,51610.45936039599
XLF_IAI,XLF,IAI,FINANCIALS,LONG,2011-04-21,2011-04-28,4,-2.8692458457319456,-0.1695013353984614,0.7763363224786131,10.479668817029296,35.53121727594351,convergence,51610.45936039599
XLY_XRT,XLY,XRT,CONSUMER_DISC,LONG,2011-04-07,2011-04-28,14,-3.153832378143507,-0.8697826711123593,0.8015600438871172,5.816031226812846,138.14791191291062,max_holding,51610.45936039599
XBI_IBB,XBI,IBB,HEALTHCARE,SHORT,2011-04-14,2011-05-05,14,2.824629340968112,0.9928490449917777,0.9953879383695514,5.657773271086202,-80.41608662065255,max_holding,51610.45936039599
VGK_EWU,VGK,EWU,EUROPE,SHORT,2011-05-03,2011-05-20,13,2.8778470175543323,0.3323854518940629,0.9877126871892167,5.344741393986324,98.04104414154182,max_holding,51705.96541493313
EWU_EWL,EWU,EWL,EUROPE,LONG,2011-05-03,2011-05-26,17,-2.938665011966846,-1.598113411054742,1.0519786717793544,6.81761841862078,-21.067271784034546,max_holding,51705.96541493313
VFH_IAI,VFH,IAI,FINANCIALS,SHORT,2011-05-03,2011-06-15,30,2.809704515097158,0.05844811117407205,0.7513838308993663,13.162862933816777,66.4203116867787,convergence,51705.96541493313
EWS_EWT,EWS,EWT,ASIA_DEV,SHORT,2012-04-20,2012-05-15,17,2.940358586976749,0.1419965470164906,0.773678206914459,8.231161658733956,241.22862481353098,convergence,51768.94341235677
VHT_IBB,VHT,IBB,HEALTHCARE,LONG,2012-05-11,2012-06-04,15,-2.984127633955036,-1.4088427443848364,0.7738057543911687,6.329413460905539,-59.61509931798097,max_holding,51768.94341235677
XLV_IBB,XLV,IBB,HEALTHCARE,LONG,2012-05-15,2012-06-12,19,-2.82170232201812,-0.6307378431175086,0.7012273930524509,7.705794225704371,108.33737404450255,max_holding,52010.1720371703
EWT_EWY,EWT,EWY,ASIA_DEV,SHORT,2013-04-19,2013-05-09,14,3.180392178670538,1.7145297785202145,0.8963190975894659,5.861134508198013,-47.15068253349499,max_holding,52058.894311896816
