pair,leg_x,leg_y,sector,direction,entry_date,exit_date,holding_days,entry_z,exit_z,hedge_ratio,half_life,pnl,exit_reason,capital_at_entry
EWH_EWS,EWH,EWS,ASIA_DEV,SHORT,2010-04-14,2010-04-19,3,3.4170864621066777,0.17464326437931726,0.8349967351174572,8.271413518198985,16.535732538640367,convergence,50000.0
TLT_BND,TLT,BND,BONDS_GOV,LONG,2010-05-06,2010-05-07,1,-3.850738250845729,0.6018888481228534,0.35465102098597234,11.310806781235772,-24.768985747263827,regime_break,50016.53573253864
EWG_EWP,EWG,EWP,EUROPE,LONG,2010-05-06,2010-05-07,1,-2.9213394040004843,-0.09454852914009133,0.7211362450326768,6.856974052413112,-22.262090681681492,convergence,50016.53573253864
EWQ_EWL,EWQ,EWL,EUROPE,SHORT,2010-05-06,2010-05-07,1,3.9942888557037954,0.029823831989199367,0.6913175454810513,6.150057843900465,-20.26871008491625,convergence,50016.53573253864
XLY_XRT,XLY,XRT,CONSUMER_DISC,SHORT,2010-05-05,2010-05-10,3,4.011991210019939,-1.034591887348351,1.2205036703305643,13.220005897924523,-12.460019023097122,regime_break,50016.53573253864
EWG_EWN,EWG,EWN,EUROPE,LONG,2010-05-05,2010-05-10,3,-2.917664937047203,4.5822370207416085,0.7030062147177417,9.236098412019087,-21.60645365089137,regime_break,50016.53573253864
VGK_EWL,VGK,EWL,EUROPE,SHORT,2010-05-06,2010-05-10,2,4.415506265774931,-3.307714909914304,0.8688359089996682,8.273978147465268,-64.99165736759909,regime_break,50016.53573253864
EWH_EWS,EWH,EWS,ASIA_DEV,LONG,2010-05-05,2010-05-10,3,-2.993984948355339,2.435629990903548,0.8531905401321437,8.271413518198985,-24.27739089276796,regime_break,50016.53573253864
VGK_EWL,VGK,EWL,EUROPE,LONG,2010-05-10,2010-05-11,1,-3.307714909914304,0.7396066500634148,0.8688359089996682,8.273978147465268,-29.65465053068951,regime_break,49825.90042509042
FEZ_EWL,FEZ,EWL,EUROPE,LONG,2010-05-10,2010-05-11,1,-2.834033214267053,0.9435010138415153,0.6628421541167344,6.132075550582108,-31.01324415974046,regime_break,49825.90042509042
EWU_EWQ,EWU,EWQ,EUROPE,SHORT,2010-05-10,2010-05-13,3,3.816554953353798,-0.06798594330013649,1.0023619495596485,6.455806101579485,-10.705545904887199,regime_break,49825.90042509042
EZU_EWU,EZU,EWU,EUROPE,LONG,2010-05-10,2010-05-13,3,-2.970398722898595,0.2777446510553941,0.8464432391866931,5.963186379561934,-14.46413646669625,regime_break,49825.90042509042
EWG_EWN,EWG,EWN,EUROPE,SHORT,2010-05-10,2010-05-13,3,4.5822370207416085,-0.2932759644114994,0.7030062147177417,9.236098412019087,-37.949945428762405,regime_break,49825.90042509042
TLT_BND,TLT,BND,BONDS_GOV,SHORT,2010-05-10,2010-05-13,3,4.047788921041323,0.013310799764383032,0.35513598539409247,11.310806781235772,1.9021275313769577,convergence,49825.90042509042
EWG_EWP,EWG,EWP,EUROPE,SHORT,2010-05-10,2010-05-13,3,5.126247003592604,-0.9008001242431852,0.7345165805417601,6.856974052413112,-82.7013297734196,regime_break,49825.90042509042
XLY_XRT,XLY,XRT,CONSUMER_DISC,SHORT,2010-05-20,2010-05-25,3,3.138632080136909,-0.4610161345877096,1.2259997590755378,13.220005897924523,8.726849081568634,regime_break,49621.3137003576
VGK_EWL,VGK,EWL,EUROPE,SHORT,2010-06-28,2010-06-29,1,4.7033228504963205,-1.550060706273492,0.8815595196973398,8.273978147465268,-28.85066796248853,regime_break,49630.04054943917
EWQ_EWL,EWQ,EWL,EUROPE,SHORT,2010-06-28,2010-06-29,1,4.507787794123833,-1.453297093915673,0.7075692298689055,6.150057843900465,-8.945782358276382,regime_break,49630.04054943917
FEZ_EWL,FEZ,EWL,EUROPE,SHORT,2010-06-28,2010-06-29,1,4.392018842332119,-1.5276653730649046,0.6784176060715845,6.132075550582108,-1.7604528454853972,regime_break,49630.04054943917
EZU_EWU,EZU,EWU,EUROPE,LONG,2010-10-18,2010-10-19,1,-3.343209848334475,2.7248819331078127,0.8429889586415302,5.963186379561934,-46.30352658505596,regime_break,49590.483646272914
XLF_IAI,XLF,IAI,FINANCIALS,SHORT,2010-10-15,2010-10-20,3,3.422274667615535,-0.7250841245021717,1.033501799676237,12.362511392812893,-2.2920109475445907,regime_break,49590.483646272914
EWG_EWP,EWG,EWP,EUROPE,SHORT,2010-12-01,2010-12-06,3,3.591048064602129,-0.08238601788795274,0.7297410707966823,6.856974052413112,-16.685639626638434,regime_break,49541.88810874031
EWT_EWY,EWT,EWY,ASIA_DEV,LONG,2011-04-07,2011-04-12,3,-3.0680674500148672,-0.06252477288530912,0.9311886621189898,7.302834201561681,-13.701427191421743,convergence,49525.202469113676
KBE_IAI,KBE,IAI,FINANCIALS,LONG,2011-05-17,2011-05-18,1,-2.933474483788533,0.09851375102039964,1.0335353669980158,15.182507332919217,-20.481614407104967,regime_break,49511.50104192225
VFH_IAI,VFH,IAI,FINANCIALS,SHORT,2011-08-08,2011-08-09,1,5.240358941553311,-4.070116842513722,1.4335122104743137,13.162862933816777,-2.6683719372958246,regime_break,49491.019427515144
XLF_IAI,XLF,IAI,FINANCIALS,SHORT,2011-08-08,2011-08-09,1,4.712681826188865,-3.421442476129865,1.3059797820565806,10.479668817029296,-10.792842863448557,regime_break,49491.019427515144
KBE_IAI,KBE,IAI,FINANCIALS,SHORT,2011-08-08,2011-08-09,1,3.071284543213822,-1.035003447590456,1.041423148282076,15.182507332919217,-17.130134307616142,regime_break,49491.019427515144
KBE_KRE,KBE,KRE,FINANCIALS,LONG,2011-08-08,2011-08-09,1,-4.219423657196294,0.5946540169546236,0.5913528707645832,6.088859880387083,43.63211509376595,regime_break,49491.019427515144
VGK_EWU,VGK,EWU,EUROPE,LONG,2011-08-04,2011-08-09,3,-4.216867243316103,2.611456528197896,0.593030055743401,5.344741393986324,18.689504946896175,regime_break,49491.019427515144
XLF_IAI,XLF,IAI,FINANCIALS,LONG,2011-08-09,2011-08-10,1,-3.421442476129865,0.5195673116477959,1.3059797820565806,10.479668817029296,14.047869693072752,regime_break,49522.74969844744
EWT_EWY,EWT,EWY,ASIA_DEV,LONG,2011-08-10,2011-08-11,1,-3.112237141822017,1.1808680404515841,0.9055498411658343,7.302834201561681,-17.661330032133083,regime_break,49536.797568140515
KBE_KRE,KBE,KRE,FINANCIALS,LONG,2011-08-10,2011-08-11,1,-2.905299649742767,1.0358861687072045,0.5844117812690265,6.088859880387083,36.887820635272256,regime_break,49536.797568140515
EWU_EWL,EWU,EWL,EUROPE,LONG,2011-08-11,2011-08-17,4,-4.409964813156742,0.3842247376919335,1.069189467214982,6.81761841862078,8.465007937756496,regime_break,49556.02405874366
VGK_EWU,VGK,EWU,EUROPE,SHORT,2011-08-11,2011-08-17,4,3.3667372752170275,0.20514840714370913,0.5861715198096372,5.344741393986324,-14.871943297955049,convergence,49556.02405874366
VFH_IAI,VFH,IAI,FINANCIALS,LONG,2011-08-09,2011-08-18,7,-4.070116842513722,1.749144504262854,1.4335122104743137,13.162862933816777,33.836496973496516,regime_break,49522.74969844744
KBE_IAI,KBE,IAI,FINANCIALS,LONG,2011-08-15,2011-08-18,3,-2.9145132293834473,0.47160645484200636,1.047967864626651,15.182507332919217,-3.1771023564664,regime_break,49556.02405874366
EWT_EWY,EWT,EWY,ASIA_DEV,SHORT,2011-08-16,2011-08-18,2,2.8777252520507344,-0.8751120191641713,0.9084531594176645,7.302834201561681,-13.560520637474294,regime_break,49556.02405874366
KBE_KRE,KBE,KRE,FINANCIALS,SHORT,2011-08-23,2011-08-25,2,3.213099982013465,-0.9855752941383521,0.5812098849870491,6.088859880387083,-51.99693108590866,regime_break,49566.71599736301
KBE_IAI,KBE,IAI,FINANCIALS,LONG,2011-08-25,2011-08-29,2,-4.1562805856437945,-0.1731309420503623,1.042547019702671,15.182507332919217,-16.27503845666486,convergence,49514.7190662771
XLF_IAI,XLF,IAI,FINANCIALS,LONG,2011-08-25,2011-08-30,3,-2.8126397647713217,0.0855666440858994,1.292014310645672,10.479668817029296,-36.40293278993734,regime_break,49514.7190662771
EWU_EWL,EWU,EWL,EUROPE,LONG,2011-09-06,2011-09-09,3,-3.0122673999193963,0.05431867027981115,1.0530356589249903,6.81761841862078,20.66075338419244,regime_break,49462.041095030494
KBE_IAI,KBE,IAI,FINANCIALS,LONG,2011-09-26,2011-10-03,5,-2.862671591417286,0.43440062009882124,1.0388120206425913,15.182507332919217,8.378724965781132,regime_break,49482.70184841468
KBE_KRE,KBE,KRE,FINANCIALS,SHORT,2011-10-04,2011-10-07,3,2.9137086762875843,-1.482043616966729,0.5901838683172599,6.088859880387083,-29.440306112630964,regime_break,49491.08057338047
XBI_IBB,XBI,IBB,HEALTHCARE,SHORT,2011-11-21,2011-11-23,2,4.25274157040758,0.1965768079898048,0.7457065642069496,5.657773271086202,11.005551847690437,convergence,49461.64026726784
EWS_EWT,EWS,EWT,ASIA_DEV,SHORT,2012-05-29,2012-05-30,1,2.808507865089333,0.06076654764662734,0.539841762823137,8.231161658733956,4.137704564927427,convergence,49472.645819115525
VGK_EWP,VGK,EWP,EUROPE,LONG,2012-05-29,2012-05-31,2,-3.2792393861838987,-0.07420832729882912,1.4622780304721286,8.536064934573702,11.364397926234066,convergence,49472.645819115525
EWQ_EWP,EWQ,EWP,EUROPE,LONG,2012-05-29,2012-06-01,3,-3.523854419680326,1.8635384894155544,1.3150783040448037,9.01178160860021,-9.52030607161037,regime_break,49472.645819115525
