pair,leg_x,leg_y,sector,direction,entry_date,exit_date,holding_days,entry_z,exit_z,hedge_ratio,half_life,pnl,exit_reason,capital_at_entry
EWH_EWS,EWH,EWS,ASIA_DEV,SHORT,2010-04-14,2010-04-19,3,3.3399106339837124,0.10433511807336882,0.8349967351174572,8.271413518198985,132.28586030912294,convergence,50000.0
TLT_BND,TLT,BND,BONDS_GOV,LONG,2010-05-06,2010-05-07,1,-3.617416334112052,0.8887460132762045,0.35465102098597234,11.310806781235772,-198.61045644453753,convergence,50132.28586030912
XLY_XRT,XLY,XRT,CONSUMER_DISC,SHORT,2010-05-05,2010-05-10,3,4.122520458755234,-0.8251181714934782,1.2205036703305643,13.220005897924523,-99.91083570138974,convergence,50132.28586030912
EWG_EWN,EWG,EWN,EUROPE,LONG,2010-05-05,2010-05-10,3,-3.167842805776409,3.7912008048806847,0.7030062147177417,9.236098412019087,-173.25164887808646,convergence,50132.28586030912
EWG_EWP,EWG,EWP,EUROPE,LONG,2010-05-06,2010-05-10,2,-3.6253276727084605,2.558046550618275,0.7211362450326768,6.856974052413112,-764.0115874478334,convergence,50132.28586030912
VGK_EWL,VGK,EWL,EUROPE,SHORT,2010-05-06,2010-05-10,2,4.557567467384569,-2.8063491140780537,0.8688359089996682,8.273978147465268,-239.46223927287576,convergence,50132.28586030912
EWQ_EWL,EWQ,EWL,EUROPE,SHORT,2010-05-06,2010-05-10,2,4.244334789831776,-1.3819677837972708,0.6913175454810513,6.150057843900465,-820.3704497751723,convergence,50132.28586030912
EWH_EWS,EWH,EWS,ASIA_DEV,LONG,2010-05-05,2010-05-10,3,-3.1876420769760454,2.0372666654074676,0.8531905401321437,8.271413518198985,-194.66859627176092,convergence,50132.28586030912
VGK_EWL,VGK,EWL,EUROPE,LONG,2010-05-10,2010-05-11,1,-2.8063491140780537,1.2198476008108643,0.8688359089996682,8.273978147465268,-104.23250322130062,convergence,47642.00004651746
EWG_EWN,EWG,EWN,EUROPE,SHORT,2010-05-10,2010-05-12,2,3.7912008048806847,0.11724875063429142,0.7030062147177417,9.236098412019087,-255.5338948380179,convergence,47642.00004651746
EWU_EWQ,EWU,EWQ,EUROPE,SHORT,2010-05-10,2010-05-13,3,3.3155699238020406,-0.8534391541129662,1.0023619495596485,6.455806101579485,-48.443304504596114,convergence,47642.00004651746
TLT_BND,TLT,BND,BONDS_GOV,SHORT,2010-05-10,2010-05-13,3,4.264387307639379,0.21097462102792439,0.35513598539409247,11.310806781235772,14.550048736132396,convergence,47642.00004651746
EWG_EWP,EWG,EWP,EUROPE,LONG,2010-05-13,2010-05-21,6,-2.9918465796361358,0.37863281632356804,0.736005466007677,6.856974052413112,-425.1985812799064,convergence,47248.340392689686
XLY_XRT,XLY,XRT,CONSUMER_DISC,SHORT,2010-05-20,2010-05-25,3,3.2588812279963086,-0.2823139031096342,1.2259997590755378,13.220005897924523,66.4761337761382,convergence,47248.340392689686
EZU_EWU,EZU,EWU,EUROPE,SHORT,2010-05-26,2010-06-02,4,3.1038774160594476,0.005383637230712155,0.8410949415496289,5.963186379561934,-170.65967032217736,convergence,46889.61794518592
VGK_EWL,VGK,EWL,EUROPE,SHORT,2010-06-28,2010-06-29,1,4.76792915636797,-1.223912409307335,0.8815595196973398,8.273978147465268,-99.83433305177888,convergence,46718.95827486374
EWQ_EWL,EWQ,EWL,EUROPE,SHORT,2010-06-28,2010-06-29,1,4.65702575705347,-0.8799716599593892,0.7075692298689055,6.150057843900465,-67.3684934536366,convergence,46718.95827486374
