trading_year,pairs_selected,total_trades,winning_trades,win_rate,total_pnl,ending_capital,convergence_exits,max_holding_exits,stop_loss_time_exits
2009,16,6,4,66.66666666666666,1151.374506445226,51151.37450644523,2.0,4.0,
2010,15,15,13,86.66666666666667,2545.7956521681244,53697.17015861335,11.0,4.0,
2011,9,7,4,57.14285714285714,245.25135533181128,53942.421513945155,2.0,5.0,
2012,10,3,2,66.66666666666666,447.29275951839907,54389.714273463556,1.0,2.0,
2013,6,2,1,50.0,488.38173005383396,54878.09600351739,1.0,1.0,
2014,8,2,1,50.0,427.0248866841676,55305.12089020156,1.0,1.0,
2015,4,0,0,0.0,0.0,55305.12089020156,,,
2016,13,4,4,100.0,709.553626681359,56014.67451688291,1.0,3.0,
2017,11,5,5,100.0,980.1562795350666,56994.830796417984,3.0,2.0,
2018,10,6,4,66.66666666666666,916.1885618504441,57911.01935826843,3.0,3.0,
2019,5,2,1,50.0,24.322901049670435,57935.3422593181,,2.0,
2020,4,1,1,100.0,1183.2249013170497,59118.56716063515,1.0,,
2021,4,5,2,40.0,-325.200216782691,58793.36694385246,2.0,3.0,
2022,6,7,5,71.42857142857143,1346.1327217959245,60139.49966564838,1.0,5.0,1.0
2023,5,3,2,66.66666666666666,-307.9398064072745,59831.559859241104,2.0,1.0,
2024,8,6,2,33.33333333333333,-642.8772403126912,59188.68261892841,1.0,4.0,1.0
