pair,leg_x,leg_y,sector,direction,entry_date,exit_date,holding_days,entry_z,exit_z,hedge_ratio,half_life,pnl,exit_reason
XLY_XRT,XLY,XRT,CONSUMER_DISC,SHORT,2010-04-19,2010-05-06,13,2.9976102134116283,0.03245185309833962,0.7542927071836641,13.220005897924523,1045.1645117353671,convergence
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2010-05-06,2010-05-10,2,-4.980326179468041,-0.44495453257098927,1.1120283439561278,6.150057843900465,7334.463934805938,convergence
EWU_EWQ,EWU,EWQ,EUROPE,SHORT,2010-04-27,2010-05-20,17,2.9611056245848784,0.40159029958750303,0.9871937579496305,6.455806101579485,2722.2955006835646,convergence
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2010-05-14,2010-05-21,5,-3.0662942679986145,0.007401764586787833,1.1120283439561278,6.150057843900465,5254.867163314388,convergence
EWG_EWU,EWG,EWU,EUROPE,SHORT,2010-05-13,2010-05-26,9,2.67297007562729,-0.16845548324457124,0.959418377596196,5.1524661102392395,2857.241866337824,convergence
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2010-06-04,2010-06-15,7,-2.5246920383016986,-0.21829242944253582,1.1120283439561278,6.150057843900465,4787.260618664981,convergence
XLY_XRT,XLY,XRT,CONSUMER_DISC,LONG,2010-07-01,2010-07-08,4,-2.5067453747975437,-0.20957218718425147,0.7542927071836641,13.220005897924523,3442.800313366113,convergence
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2010-06-28,2010-07-19,14,-3.734544857070711,-0.31611905225959497,1.1120283439561278,6.150057843900465,9659.457403605578,convergence
VFH_IAI,VFH,IAI,FINANCIALS,SHORT,2010-06-18,2010-07-29,28,2.8509327089452516,0.23360184092903696,1.0479223703362872,14.580256609700431,-809.527997237848,convergence
XLY_XRT,XLY,XRT,CONSUMER_DISC,LONG,2011-03-30,2011-04-25,17,-2.5087304957518994,-1.2625149696762707,0.8015600438871172,5.816031226812846,-2025.2143633112169,max_holding
XLF_IAI,XLF,IAI,FINANCIALS,LONG,2011-04-15,2011-04-28,8,-2.7259758210193725,-0.1695013353984614,0.7763363224786131,10.479668817029296,1783.5254197286024,convergence
EWT_EWY,EWT,EWY,ASIA_DEV,LONG,2011-03-30,2011-04-29,21,-3.276747590972535,-1.0184305476825177,0.9510986122103829,7.302834201561681,1024.955431861951,max_holding
VGK_EWU,VGK,EWU,EUROPE,SHORT,2011-04-28,2011-05-20,16,2.5416386925180237,0.3323854518940629,0.9877126871892167,5.344741393986324,1097.025121836409,max_holding
XLF_IAI,XLF,IAI,FINANCIALS,SHORT,2011-05-17,2011-05-23,4,2.567470495866097,0.38721693513154704,0.7763363224786131,10.479668817029296,2262.809441374192,convergence
